date,day_of_week,is_weekend,month,time_index,sales
1/1/2024,Monday,0,1,0,1149
1/2/2024,Tuesday,0,1,1,1086
1/3/2024,Wednesday,0,1,2,1165
1/4/2024,Thursday,0,1,3,1253
1/5/2024,Friday,0,1,4,1078
1/6/2024,Saturday,1,1,5,1579
1/7/2024,Sunday,1,1,6,1760
1/8/2024,Monday,0,1,7,1180
1/9/2024,Tuesday,0,1,8,1057
1/10/2024,Wednesday,0,1,9,1158
1/11/2024,Thursday,0,1,10,1058
1/12/2024,Friday,0,1,11,1058
1/13/2024,Saturday,1,1,12,1630
1/14/2024,Sunday,1,1,13,1415
1/15/2024,Monday,0,1,14,934
1/16/2024,Tuesday,0,1,15,1051
1/17/2024,Wednesday,0,1,16,1006
1/18/2024,Thursday,0,1,17,1139
1/19/2024,Friday,0,1,18,1018
1/20/2024,Saturday,1,1,19,1468
1/21/2024,Sunday,1,1,20,1756
1/22/2024,Monday,0,1,21,1087
1/23/2024,Tuesday,0,1,22,1117
1/24/2024,Wednesday,0,1,23,969
1/25/2024,Thursday,0,1,24,1057
1/26/2024,Friday,0,1,25,1123
1/27/2024,Saturday,1,1,26,1497
1/28/2024,Sunday,1,1,27,1651
1/29/2024,Monday,0,1,28,1053
1/30/2024,Tuesday,0,1,29,1085
1/31/2024,Wednesday,0,1,30,1054
2/1/2024,Thursday,0,2,31,1320
2/2/2024,Friday,0,2,32,1134
2/3/2024,Saturday,1,2,33,1530
2/4/2024,Sunday,1,2,34,1719
2/5/2024,Monday,0,2,35,1015
2/6/2024,Tuesday,0,2,36,1158
2/7/2024,Wednesday,0,2,37,942
2/8/2024,Thursday,0,2,38,1006
2/9/2024,Friday,0,2,39,1159
2/10/2024,Saturday,1,2,40,1713
2/11/2024,Sunday,1,2,41,1657
2/12/2024,Monday,0,2,42,1129
2/13/2024,Tuesday,0,2,43,1111
2/14/2024,Wednesday,0,2,44,994
2/15/2024,Thursday,0,2,45,1070
2/16/2024,Friday,0,2,46,1096
2/17/2024,Saturday,1,2,47,1749
2/18/2024,Sunday,1,2,48,1678
2/19/2024,Monday,0,2,49,968
2/20/2024,Tuesday,0,2,50,1177
2/21/2024,Wednesday,0,2,51,1106
2/22/2024,Thursday,0,2,52,1078
2/23/2024,Friday,0,2,53,1207
2/24/2024,Saturday,1,2,54,1750
2/25/2024,Sunday,1,2,55,1740
2/26/2024,Monday,0,2,56,1064
2/27/2024,Tuesday,0,2,57,1117
2/28/2024,Wednesday,0,2,58,1182
2/29/2024,Thursday,0,2,59,1247
3/1/2024,Friday,0,3,60,1232
3/2/2024,Saturday,1,3,61,1761
3/3/2024,Sunday,1,3,62,1670
3/4/2024,Monday,0,3,63,1161
3/5/2024,Tuesday,0,3,64,1363
3/6/2024,Wednesday,0,3,65,1418
3/7/2024,Thursday,0,3,66,1275
3/8/2024,Friday,0,3,67,1383
3/9/2024,Saturday,1,3,68,1820
3/10/2024,Sunday,1,3,69,1719
3/11/2024,Monday,0,3,70,1321
3/12/2024,Tuesday,0,3,71,1439
3/13/2024,Wednesday,0,3,72,1282
3/14/2024,Thursday,0,3,73,1442
3/15/2024,Friday,0,3,74,1025
3/16/2024,Saturday,1,3,75,1869
3/17/2024,Sunday,1,3,76,1796
3/18/2024,Monday,0,3,77,1258
3/19/2024,Tuesday,0,3,78,1298
3/20/2024,Wednesday,0,3,79,1090
3/21/2024,Thursday,0,3,80,1268
3/22/2024,Friday,0,3,81,1326
3/23/2024,Saturday,1,3,82,1938
3/24/2024,Sunday,1,3,83,1739
3/25/2024,Monday,0,3,84,1211
3/26/2024,Tuesday,0,3,85,1242
3/27/2024,Wednesday,0,3,86,1384
3/28/2024,Thursday,0,3,87,1326
3/29/2024,Friday,0,3,88,1241
3/30/2024,Saturday,1,3,89,1845
3/31/2024,Sunday,1,3,90,1804
4/1/2024,Monday,0,4,91,1442
4/2/2024,Tuesday,0,4,92,1275
4/3/2024,Wednesday,0,4,93,1313
4/4/2024,Thursday,0,4,94,1307
4/5/2024,Friday,0,4,95,1201
4/6/2024,Saturday,1,4,96,1877
4/7/2024,Sunday,1,4,97,1874
4/8/2024,Monday,0,4,98,1349
4/9/2024,Tuesday,0,4,99,1326
4/10/2024,Wednesday,0,4,100,1208
4/11/2024,Thursday,0,4,101,1308
4/12/2024,Friday,0,4,102,1316
4/13/2024,Saturday,1,4,103,1771
4/14/2024,Sunday,1,4,104,1835
4/15/2024,Monday,0,4,105,1392
4/16/2024,Tuesday,0,4,106,1541
4/17/2024,Wednesday,0,4,107,1370
4/18/2024,Thursday,0,4,108,1379
4/19/2024,Friday,0,4,109,1347
4/20/2024,Saturday,1,4,110,1663
4/21/2024,Sunday,1,4,111,1852
4/22/2024,Monday,0,4,112,1362
4/23/2024,Tuesday,0,4,113,1602
4/24/2024,Wednesday,0,4,114,1337
4/25/2024,Thursday,0,4,115,1387
4/26/2024,Friday,0,4,116,1354
4/27/2024,Saturday,1,4,117,1741
4/28/2024,Sunday,1,4,118,1973
4/29/2024,Monday,0,4,119,1434
4/30/2024,Tuesday,0,4,120,1439
5/1/2024,Wednesday,0,5,121,1319
5/2/2024,Thursday,0,5,122,1551
5/3/2024,Friday,0,5,123,1271
5/4/2024,Saturday,1,5,124,1970
5/5/2024,Sunday,1,5,125,2131
5/6/2024,Monday,0,5,126,1313
5/7/2024,Tuesday,0,5,127,1356
5/8/2024,Wednesday,0,5,128,1423
5/9/2024,Thursday,0,5,129,1364
5/10/2024,Friday,0,5,130,1259
5/11/2024,Saturday,1,5,131,1922
5/12/2024,Sunday,1,5,132,1809
5/13/2024,Monday,0,5,133,1463
5/14/2024,Tuesday,0,5,134,1325
5/15/2024,Wednesday,0,5,135,1572
5/16/2024,Thursday,0,5,136,1339
5/17/2024,Friday,0,5,137,1386
5/18/2024,Saturday,1,5,138,2000
5/19/2024,Sunday,1,5,139,1796
5/20/2024,Monday,0,5,140,1442
5/21/2024,Tuesday,0,5,141,1551
5/22/2024,Wednesday,0,5,142,1260
5/23/2024,Thursday,0,5,143,1439
5/24/2024,Friday,0,5,144,1447
5/25/2024,Saturday,1,5,145,2000
5/26/2024,Sunday,1,5,146,1799
5/27/2024,Monday,0,5,147,1291
5/28/2024,Tuesday,0,5,148,1476
5/29/2024,Wednesday,0,5,149,1454
5/30/2024,Thursday,0,5,150,1450
5/31/2024,Friday,0,5,151,1460
6/1/2024,Saturday,1,6,152,1907
6/2/2024,Sunday,1,6,153,1999
6/3/2024,Monday,0,6,154,1506
6/4/2024,Tuesday,0,6,155,1406
6/5/2024,Wednesday,0,6,156,1664
6/6/2024,Thursday,0,6,157,1525
6/7/2024,Friday,0,6,158,1359
6/8/2024,Saturday,1,6,159,2045
6/9/2024,Sunday,1,6,160,1882
6/10/2024,Monday,0,6,161,1559
6/11/2024,Tuesday,0,6,162,1596
6/12/2024,Wednesday,0,6,163,1399
6/13/2024,Thursday,0,6,164,1578
6/14/2024,Friday,0,6,165,1523
6/15/2024,Saturday,1,6,166,2065
6/16/2024,Sunday,1,6,167,2173
6/17/2024,Monday,0,6,168,1459
6/18/2024,Tuesday,0,6,169,1409
6/19/2024,Wednesday,0,6,170,1396
6/20/2024,Thursday,0,6,171,1403
6/21/2024,Friday,0,6,172,1478
6/22/2024,Saturday,1,6,173,2020
6/23/2024,Sunday,1,6,174,2014
6/24/2024,Monday,0,6,175,1570
6/25/2024,Tuesday,0,6,176,1489
6/26/2024,Wednesday,0,6,177,1633
6/27/2024,Thursday,0,6,178,1462
6/28/2024,Friday,0,6,179,1761
6/29/2024,Saturday,1,6,180,2052
6/30/2024,Sunday,1,6,181,1904
7/1/2024,Monday,0,7,182,1433
7/2/2024,Tuesday,0,7,183,1589
7/3/2024,Wednesday,0,7,184,1519
7/4/2024,Thursday,0,7,185,1613
7/5/2024,Friday,0,7,186,1590
7/6/2024,Saturday,1,7,187,2036
7/7/2024,Sunday,1,7,188,1959
7/8/2024,Monday,0,7,189,1393
7/9/2024,Tuesday,0,7,190,1500
7/10/2024,Wednesday,0,7,191,1631
7/11/2024,Thursday,0,7,192,1567
7/12/2024,Friday,0,7,193,1421
7/13/2024,Saturday,1,7,194,2064
7/14/2024,Sunday,1,7,195,2086
7/15/2024,Monday,0,7,196,1459
7/16/2024,Tuesday,0,7,197,1563
7/17/2024,Wednesday,0,7,198,1554
7/18/2024,Thursday,0,7,199,1435
7/19/2024,Friday,0,7,200,1585
7/20/2024,Saturday,1,7,201,2106
7/21/2024,Sunday,1,7,202,2159
7/22/2024,Monday,0,7,203,1656
7/23/2024,Tuesday,0,7,204,1414
7/24/2024,Wednesday,0,7,205,1458
7/25/2024,Thursday,0,7,206,1604
7/26/2024,Friday,0,7,207,1604
7/27/2024,Saturday,1,7,208,2105
7/28/2024,Sunday,1,7,209,2439
7/29/2024,Monday,0,7,210,1612
7/30/2024,Tuesday,0,7,211,1669
7/31/2024,Wednesday,0,7,212,1651
8/1/2024,Thursday,0,8,213,1591
8/2/2024,Friday,0,8,214,1495
8/3/2024,Saturday,1,8,215,2103
8/4/2024,Sunday,1,8,216,1950
8/5/2024,Monday,0,8,217,1504
8/6/2024,Tuesday,0,8,218,1480
8/7/2024,Wednesday,0,8,219,1537
8/8/2024,Thursday,0,8,220,1761
8/9/2024,Friday,0,8,221,1343
8/10/2024,Saturday,1,8,222,2099
8/11/2024,Sunday,1,8,223,1870
8/12/2024,Monday,0,8,224,1484
8/13/2024,Tuesday,0,8,225,1641
8/14/2024,Wednesday,0,8,226,1539
8/15/2024,Thursday,0,8,227,1425
8/16/2024,Friday,0,8,228,1462
8/17/2024,Saturday,1,8,229,2102
8/18/2024,Sunday,1,8,230,1961
8/19/2024,Monday,0,8,231,1557
8/20/2024,Tuesday,0,8,232,1540
8/21/2024,Wednesday,0,8,233,1471
8/22/2024,Thursday,0,8,234,1751
8/23/2024,Friday,0,8,235,1600
8/24/2024,Saturday,1,8,236,1835
8/25/2024,Sunday,1,8,237,2057
8/26/2024,Monday,0,8,238,1472
8/27/2024,Tuesday,0,8,239,1624
8/28/2024,Wednesday,0,8,240,1460
8/29/2024,Thursday,0,8,241,1529
8/30/2024,Friday,0,8,242,1591
8/31/2024,Saturday,1,8,243,2128
9/1/2024,Sunday,1,9,244,1801
9/2/2024,Monday,0,9,245,1389
9/3/2024,Tuesday,0,9,246,1375
9/4/2024,Wednesday,0,9,247,1358
9/5/2024,Thursday,0,9,248,1600
9/6/2024,Friday,0,9,249,1464
9/7/2024,Saturday,1,9,250,1798
9/8/2024,Sunday,1,9,251,2017
9/9/2024,Monday,0,9,252,1638
9/10/2024,Tuesday,0,9,253,1529
9/11/2024,Wednesday,0,9,254,1275
9/12/2024,Thursday,0,9,255,1379
9/13/2024,Friday,0,9,256,1554
9/14/2024,Saturday,1,9,257,1857
9/15/2024,Sunday,1,9,258,1973
9/16/2024,Monday,0,9,259,1506
9/17/2024,Tuesday,0,9,260,1337
9/18/2024,Wednesday,0,9,261,1424
9/19/2024,Thursday,0,9,262,1106
9/20/2024,Friday,0,9,263,1329
9/21/2024,Saturday,1,9,264,1906
9/22/2024,Sunday,1,9,265,1807
9/23/2024,Monday,0,9,266,1596
9/24/2024,Tuesday,0,9,267,1290
9/25/2024,Wednesday,0,9,268,1389
9/26/2024,Thursday,0,9,269,1447
9/27/2024,Friday,0,9,270,1579
9/28/2024,Saturday,1,9,271,1791
9/29/2024,Sunday,1,9,272,2052
9/30/2024,Monday,0,9,273,1437
10/1/2024,Tuesday,0,10,274,1318
10/2/2024,Wednesday,0,10,275,1463
10/3/2024,Thursday,0,10,276,1437
10/4/2024,Friday,0,10,277,1358
10/5/2024,Saturday,1,10,278,1925
10/6/2024,Sunday,1,10,279,1880
10/7/2024,Monday,0,10,280,1431
10/8/2024,Tuesday,0,10,281,1486
10/9/2024,Wednesday,0,10,282,1579
10/10/2024,Thursday,0,10,283,1297
10/11/2024,Friday,0,10,284,1635
10/12/2024,Saturday,1,10,285,1727
10/13/2024,Sunday,1,10,286,1907
10/14/2024,Monday,0,10,287,1482
10/15/2024,Tuesday,0,10,288,1452
10/16/2024,Wednesday,0,10,289,1362
10/17/2024,Thursday,0,10,290,1404
10/18/2024,Friday,0,10,291,1376
10/19/2024,Saturday,1,10,292,1867
10/20/2024,Sunday,1,10,293,2011
10/21/2024,Monday,0,10,294,1462
10/22/2024,Tuesday,0,10,295,1358
10/23/2024,Wednesday,0,10,296,1517
10/24/2024,Thursday,0,10,297,1459
10/25/2024,Friday,0,10,298,1510
10/26/2024,Saturday,1,10,299,1992
10/27/2024,Sunday,1,10,300,1847
10/28/2024,Monday,0,10,301,1374
10/29/2024,Tuesday,0,10,302,1505
10/30/2024,Wednesday,0,10,303,1492
10/31/2024,Thursday,0,10,304,1429
11/1/2024,Friday,0,11,305,1514
11/2/2024,Saturday,1,11,306,2130
11/3/2024,Sunday,1,11,307,1944
11/4/2024,Monday,0,11,308,1558
11/5/2024,Tuesday,0,11,309,1484
11/6/2024,Wednesday,0,11,310,1483
11/7/2024,Thursday,0,11,311,1615
11/8/2024,Friday,0,11,312,1588
11/9/2024,Saturday,1,11,313,2087
11/10/2024,Sunday,1,11,314,2137
11/11/2024,Monday,0,11,315,1509
11/12/2024,Tuesday,0,11,316,1576
